product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
696a999ec17e492f74e0d1a76226b401,bebes,44.0,191.0,4.0,150.0,16.0,6.0,20.0,2024-01-23 12:52:53.013785
3d50229001636cd5e9851e53383c6b8a,cama_mesa_banho,58.0,663.0,1.0,1100.0,29.0,4.0,36.0,2024-01-23 12:52:53.013785
ffd246249e3225c13f40b5b91dcaa65a,esporte_lazer,47.0,1457.0,2.0,850.0,20.0,12.0,11.0,2024-01-23 12:52:53.013785
289dfe89bc0d1eb6bea5a0a3bde85552,cama_mesa_banho,29.0,585.0,5.0,1700.0,50.0,10.0,40.0,2024-01-23 12:52:53.013785
9348cf658c9f20576186a9f3b82c58c3,beleza_saude,46.0,407.0,3.0,1175.0,53.0,18.0,18.0,2024-01-23 12:52:53.013785
73ae8d8ca7df19a982c92fc1265d9e46,cama_mesa_banho,54.0,236.0,1.0,1150.0,34.0,7.0,32.0,2024-01-23 12:52:53.013785
a72209f6ea270769cecf0ed4168d3893,brinquedos,44.0,603.0,4.0,400.0,30.0,20.0,20.0,2024-01-23 12:52:53.013785
8283442d1af5a158404e8f4cb53a2090,automotivo,39.0,344.0,1.0,700.0,21.0,9.0,12.0,2024-01-23 12:52:53.013785
c86f95986c7050bf988aed62520093e7,beleza_saude,57.0,1550.0,1.0,3700.0,22.0,22.0,22.0,2024-01-23 12:52:53.013785
18901878788fec7ddc55e64d1ace8187,bebes,38.0,471.0,2.0,8250.0,44.0,32.0,35.0,2024-01-23 12:52:53.013785
05177c02b7f7e985fb4a90d1465f0fba,eletrodomesticos,52.0,307.0,1.0,100.0,18.0,8.0,13.0,2024-01-23 12:52:53.013785
78f9e0fb082486f571595a1875c306c8,utilidades_domesticas,43.0,757.0,5.0,250.0,16.0,7.0,12.0,2024-01-23 12:52:53.013785
f522bb1400b17373f48c625ccdcb3a13,ferramentas_jardim,43.0,396.0,1.0,11600.0,37.0,26.0,20.0,2024-01-23 12:52:53.013785
af53bbaeee1f3190c2ff939fc236b6f5,beleza_saude,47.0,770.0,1.0,350.0,19.0,12.0,13.0,2024-01-23 12:52:53.013785
ba34539b92ec1baa3a9c108b81cd8344,esporte_lazer,47.0,1634.0,1.0,650.0,16.0,10.0,11.0,2024-01-23 12:52:53.013785
e8f492468d1d405a95e157c7530ae6bf,moveis_decoracao,54.0,372.0,1.0,850.0,40.0,5.0,11.0,2024-01-23 12:52:53.013785
2aa23c51528b71a1c9f2ce72f4fc9ad8,,,,,200.0,35.0,4.0,25.0,2024-01-23 12:52:53.013785
d48a0a53664a92739f3ff40cdae9078e,livros_interesse_geral,47.0,2748.0,4.0,2100.0,19.0,26.0,11.0,2024-01-23 12:52:53.013785
525069ef824b496ed4d5a9fc67938b46,bebes,41.0,341.0,2.0,100.0,20.0,6.0,15.0,2024-01-23 12:52:53.013785
